// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

5,12913,100
5,12215,20
5,13698,100
5,12216,20
5,12916,100 
5,12218,20
5,14588,20
5,13912,100
5,14589,20
5,13913,100
6,12710,25
6,14542,20
6,13749,150
6,14544,20
6,13755,150
6,14537,150
6,13720,1100
6,14536,40
6,13718,500
6,12075,100
6,12080,100
6,12095,100
6,12100,100
6,12203,100
6,12207,100
2,17229,250
4,2344,400
4,2346,400
4,2348,400
4,2350,400
7,12210,200
7,14216,750
7,16504,1550
7,12208,200
7,13599,750
7,14606,150
7,12209,5
7,42000,1000
7,7619,100
7,12920,900
7,7620,100
7,14177,900
7,6225,50
7,16261,500
7,6226,50
7,16264,500
7,12622,1250
7,12211,50
7,12909,400
7,7776,250
7,13710,1700
7,7621,100
7,12922,700
7,6417,25
7,17315,400
7,12910,400
7,12214,100
7,12412,350
7,12103,350
4,28902,450
4,18522,550
4,18668,600
4,18539,600
4,5563,600
4,18646,600
4,5498,600
4,18666,600
4,5305,600
4,5283,600
4,5388,600
4,18693,600
4,5477,600
4,5574,600
4,5362,600
4,5536,600
4,5361,600
4,5463,600
4,5315,600
4,5471,600
4,5401,600
4,5592,600
4,5389,600
4,5325,600
4,5421,600
4,5357,600
4,5466,600
4,5359,600
4,5151,600
4,5420,600
4,5311,600
4,5372,600
4,5467,600
4,5465,600
4,5211,600
4,18542,600
4,5208,600
4,5276,600
4,5278,600
4,5564,600
4,5490,600
4,5462,600
4,5664,600
4,5483,600
4,18885,600
4,5314,600
4,5377,600
4,5800,600
4,5557,600
4,5181,600
4,18934,600
4,18651,600
4,18750,600
4,5516,600
4,18540,600
4,2766,30
4,2767,30
4,2768,30
4,2769,30
4,2770,30
4,2771,30
5,12927,100
5,12928,20
5,14277,100
5,14594,20
5,12917,150
5,12219,25
7,14532,80
7,9028,100
7,9038,100
7,9029,100
7,12109,10
7,12260,5
7,12221,5
1,31452,500
1,31299,500
1,31437,500
1,31186,500
1,31491,500
1,31512,500
1,31542,500
1,20514,500
1,20764,500
1,20746,500
1,20727,500
1,20761,500
1,20500,500
1,20762,500
1,20516,500
1,20509,500
1,31313,500
1,20504,500









